,,G1,G2,G3,G4,G5,NoMutados
17,17/01/2020,1,0,0,0,0,0
18,18/01/2020,1,0,0,0,0,0
19,19/01/2020,1,0,0,0,0,0
20,20/01/2020,1,0,0,0,0,0
21,21/01/2020,1,0,0,0,0,0
22,22/01/2020,1,0,0,0,0,0
23,23/01/2020,1,0,0,0,0,0
24,24/01/2020,1,0,0,0,0,0
25,25/01/2020,1,0,0,0,0,0
26,26/01/2020,0.9444444,0,0,0,0,0.05555556
27,27/01/2020,0.9259259,0,0,0,0,0.07407407
28,28/01/2020,0.8965517,0,0,0,0,0.1034483
29,29/01/2020,0.8965517,0,0,0,0,0.1034483
30,30/01/2020,0.8518519,0,0,0,0,0.1481481
31,31/01/2020,0.88,0,0,0,0,0.12
32,01/02/2020,0.75,0,0,0,0,0.25
33,02/02/2020,0.6923077,0.07692308,0,0,0,0.2307692
34,03/02/2020,0.6363636,0.09090909,0,0,0,0.2727273
35,04/02/2020,0.7,0.1,0,0,0,0.2
36,05/02/2020,0.6666667,0.1111111,0,0,0,0.2222222
37,06/02/2020,0.7142857,0.1428571,0,0,0,0.1428571
38,07/02/2020,0.6666667,0,0,0,0,0.3333333
39,08/02/2020,0.4285714,0,0,0,0,0.5714286
40,09/02/2020,0.4285714,0,0,0,0,0.5714286
41,10/02/2020,0.3333333,0,0,0,0,0.6666667
42,11/02/2020,0.375,0,0,0,0,0.625
43,12/02/2020,0.4285714,0,0,0,0,0.5714286
44,13/02/2020,0.4285714,0,0,0,0,0.5714286
45,14/02/2020,0.3571429,0,0,0,0,0.6428571
46,15/02/2020,0.5652174,0,0,0,0,0.4347826
47,16/02/2020,0.6428571,0,0,0,0,0.3571429
48,17/02/2020,0.6428571,0,0,0,0,0.3571429
49,18/02/2020,0.7727273,0,0,0,0,0.2272727
50,19/02/2020,0.862069,0,0,0,0,0.137931
51,20/02/2020,0.8695652,0,0,0,0,0.1304348
52,21/02/2020,0.8823529,0,0,0,0,0.1176471
53,22/02/2020,0.8965517,0,0,0,0,0.1034483
54,23/02/2020,0.9473684,0,0,0,0,0.05263158
55,24/02/2020,0.8974359,0,0,0,0,0.1025641
56,25/02/2020,0.8979592,0,0,0,0,0.1020408
57,26/02/2020,0.8648649,0,0,0,0,0.1351351
58,27/02/2020,0.8615385,0,0,0,0,0.1384615
59,28/02/2020,0.8108108,0,0,0,0,0.1891892
