AmerSur-G2,AmerSur-G3,Asia1-G1,Asia1-G2,Asia1-G3,Asia1-G4,Asia2-G1,Asia2-G2,Asia2-G3,Asia2-G4,Australia-G1,Australia-G2,Australia-G3,Australia-G4,Australia-G5,USA-G1,USA-G2,USA-G3,USA-G4,USA-G5
,,1.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.9090909,0.0,0.0,0.09090909
,,1.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.9642857,0.0,0.0,0.03571429
,,1.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.9473684,0.0,0.0,0.05263158
,,1.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.9302326,0.0,0.0,0.06976744
,,1.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.925,0.0,0.0,0.075
,,1.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.9375,0.0,0.0,0.0625
,,1.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.8666667,0.0,0.0,0.1333333
,,1.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.8,0.0,0.0,0.2
,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,
,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,
,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,
,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,
,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,
,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,
,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,
,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,
,,1.0,0.0,0.0,0.0,,,,,,,,,,1.0,0.0,0.0,0.0,0.0
,,1.0,0.0,0.0,0.0,,,,,,,,,,1.0,0.0,0.0,0.0,0.0
,,1.0,0.0,0.0,0.0,,,,,,,,,,1.0,0.0,0.0,0.0,0.0
,,1.0,0.0,0.0,0.0,,,,,,,,,,1.0,0.0,0.0,0.0,0.0
,,1.0,0.0,0.0,0.0,,,,,,,,,,1.0,0.0,0.0,0.0,0.0
,,1.0,0.0,0.0,0.0,,,,,,,,,,1.0,0.0,0.0,0.0,0.0
,,1.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
,,1.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
,,1.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
,,1.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
,,1.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
,,1.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0,0.0,0.0
,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,
,,1.0,0.0,0.0,0.0,,,,,,,,,,1.0,0.0,0.0,0.0,0.0
,,1.0,0.0,0.0,0.0,,,,,,,,,,1.0,0.0,0.0,0.0,0.0
,,1.0,0.0,0.0,0.0,,,,,,,,,,1.0,0.0,0.0,0.0,0.0
,,1.0,0.0,0.0,0.0,,,,,,,,,,1.0,0.0,0.0,0.0,0.0
,,1.0,0.0,0.0,0.0,,,,,,,,,,1.0,0.0,0.0,0.0,0.0
,,1.0,0.0,0.0,0.0,,,,,,,,,,1.0,0.0,0.0,0.0,0.0
,,1.0,0.0,0.0,0.0,,,,,,,,,,1.0,0.0,0.0,0.0,0.0
,,1.0,0.0,0.0,0.0,,,,,,,,,,1.0,0.0,0.0,0.0,0.0
